Title,Rating,Votes,Genre,Duration(in_mins)
Kraven the Hunter,5.4,47000,Action,127.0
Twisters,6.5,162000,Action,122.0
Gladiator II,6.5,219000,Action,148.0
Sonic the Hedgehog 3,6.9,54000,Action,110.0
Pushpa: The Rule - Part 2,6.1,54000,Action,201.0
Venom: The Last Dance,6.0,110000,Action,110.0
Dune: Part Two,8.5,615000,Action,166.0
The Ministry of Ungentlemanly Warfare,6.8,132000,Action,122.0
Deadpool & Wolverine,7.6,482000,Action,128.0
Furiosa: A Mad Max Saga,7.5,281000,Action,148.0
The Lord of the Rings: The War of the Rohirrim,6.3,28000,Action,134.0
Borderlands,4.7,46000,Action,101.0
Civil War,7.0,233000,Action,109.0
Elevation,5.6,20000,Action,91.0
The Beekeeper,6.3,153000,Action,105.0
Solo Leveling: ReAwakening,8.8,8900,Action,121.0
Carry-On,6.5,161000,Action,119.0
The Count of Monte-Cristo,7.6,33000,Action,178.0
The Fall Guy,6.8,217000,Action,126.0
William Tell,5.8,1900,Action,133.0
Hellboy: The Crooked Man,4.5,13000,Action,99.0
Rebel Ridge,6.8,86000,Action,131.0
Damsel,6.1,108000,Action,110.0
Marco,6.9,20000,Action,145.0
Homestead,5.4,3400,Action,112.0
The Crow,4.7,33000,Action,111.0
Road House,6.2,166000,Action,121.0
Transformers One,7.6,48000,Action,104.0
Red One,6.3,138000,Action,123.0
Argylle,5.6,92000,Action,139.0
Kingdom of the Planet of the Apes,6.9,150000,Action,145.0
The Killer's Game,5.8,16000,Action,104.0
Freaky Tales,6.5,378,Action,106.0
Madame Web,4.0,99000,Action,116.0
Bad Boys: Ride or Die,6.5,98000,Action,115.0
Old Guy,5.1,1900,Action,94.0
Godzilla x Kong: The New Empire,6.1,120000,Action,115.0
Love Lies Bleeding,6.6,56000,Action,104.0
Thelma,7.0,22000,Action,98.0
Land of Bad,6.6,50000,Action,113.0
Dirty Angels,4.3,3200,Action,104.0
Aftermath,5.1,3600,Action,97.0
Monkey Man,6.8,90000,Action,121.0
Blitz,6.2,16000,Action,120.0
The Union,5.4,52000,Action,107.0
Uglies,4.7,32000,Action,100.0
Cash Out,4.8,2900,Action,92.0
Survive,4.6,2100,Action,90.0
Azrael,5.4,10000,Action,86.0
Drive-Away Dolls,5.4,23000,Action,84.0
Kung Fu Panda 4,6.3,67000,Action,94.0
The Killer,5.7,12000,Action,126.0
Attack on Titan the Movie: The Last Attack,9.2,14000,Action,145.0
The Instigators,6.2,37000,Action,101.0
Werewolves,4.4,6100,Action,93.0
Beverly Hills Cop: Axel F,6.4,81000,Action,118.0
Lift,5.5,49000,Action,107.0
Maharaja,8.4,66000,Action,141.0
Kalki 2898 AD,7.0,66000,Action,180.0
Absolution,5.2,7500,Action,112.0
Arcadian,5.5,23000,Action,92.0
Descendants: The Rise of Red,4.7,6900,Action,91.0
Apocalypse Z: The Beginning of the End,6.1,19000,Action,117.0
Long Gone Heroes,5.2,994,Action,101.0
Gunner,3.2,2400,Action,106.0
Atlas,5.6,55000,Action,118.0
Brothers,5.4,13000,Action,89.0
Canary Black,5.4,11000,Action,101.0
Chief of Station,4.7,4500,Action,97.0
Rebel Moon - Part Two: The Scargiver,5.3,59000,Action,122.0
Armor,3.5,3700,Action,89.0
Watchmen: Chapter I,7.0,6300,Action,83.0
The Silent Hour,6.1,7100,Action,99.0
Baby Invasion,4.6,263,Action,80.0
Jackpot!,5.8,30000,Action,106.0
Twilight of the Warriors: Walled In,7.0,9000,Action,126.0
Vanvaas,6.7,1200,Action,160.0
Under Paris,5.2,36000,Action,104.0
Weekend in Taipei,5.7,4400,Action,100.0
Hitpig,5.1,857,Action,86.0
Baby John,5.4,17000,Action,159.0
Classified,3.6,2300,Action,105.0
The Shadow Strays,6.5,9000,Action,144.0
Trigger Warning,4.6,19000,Action,106.0
Boneyard,4.1,4900,Action,96.0
Hagen,6.1,1100,Action,139.0
Take Cover,5.1,2300,Action,90.0
Aavesham,7.8,27000,Action,155.0
No Way Up,4.6,10000,Action,90.0
Damaged,4.7,7200,Action,97.0
Red Right Hand,5.5,5800,Action,111.0
Megamind vs. The Doom Syndicate,2.5,5500,Action,83.0
Watchmen: Chapter II,7.0,2800,Action,90.0
11 Rebels,6.3,296,Action,155.0
Singham Again,4.8,75000,Action,144.0
Role Play,5.5,19000,Action,100.0
Justice League: Crisis on Infinite Earths - Part One,6.2,8400,Action,93.0
Justice League: Crisis on Infinite Earths - Part Three,6.1,4400,Action,94.0
Sunray: Fallen Soldier,4.3,598,Action,115.0
River of Blood,5.4,1700,Action,86.0
Hounds of War,4.5,1700,Action,95.0
Amaran,8.2,18000,Action,167.0
Dominique,5.3,2100,Action,100.0
Code 8: Part II,5.7,16000,Action,100.0
Hanu Man,7.7,29000,Action,158.0
Prey,3.7,3200,Action,86.0
Rifle Club,7.0,4000,Action,113.0
Dark Match,5.5,867,Action,94.0
Crosspoint,7.2,30,Action,100.0
The Thundermans Return,5.0,1800,Action,70.0
Trouble,6.2,6600,Action,98.0
"I, the Executioner",6.3,1600,Action,118.0
Night Call,6.8,1800,Action,97.0
Raqa,5.8,127,Action,107.0
Arena Wars,4.9,2000,Action,96.0
Jacob Tyler,4.7,47,Action,133.0
My Spy: The Eternal City,5.7,11000,Action,112.0
The Price of Money: A Largo Winch Adventure,5.0,1100,Action,100.0
Death Whisperer 2,6.4,1300,Action,110.0
The Roundup: Punishment,6.6,5100,Action,109.0
Joe Baby,7.6,29,Action,86.0
Kill Em All 2,4.1,1300,Action,88.0
Sikandar Ka Muqaddar,6.0,24000,Action,142.0
Uprising,6.6,5400,Action,126.0
Duchess,4.6,1200,Action,114.0
Bougainvillea,6.4,3000,Action,138.0
Viduthalai Part 2,8.0,16000,Action,170.0
Badland Hunters,5.9,12000,Action,107.0
My Hero Academia: You're Next,7.0,1900,Action,110.0
Simarik,6.4,2400,Action,111.0
Devara Part 1,6.0,20000,Action,176.0
Karma,8.1,1400,Action,167.0
Article 370,7.8,25000,Action,158.0
The Fix,4.6,1100,Action,98.0
City Hunter,6.3,5500,Action,102.0
One More Shot,5.4,3600,Action,103.0
Officer Black Belt,6.8,8000,Action,108.0
The Courier,6.0,4300,Action,101.0
Levels,5.0,1500,Action,93.0
Darkness of Man,4.8,3100,Action,109.0
Khadaan,7.4,2000,Action,137.0
The Tiger's Apprentice,5.7,2100,Action,84.0
The Wages of Fear,4.6,4100,Action,104.0
The Twisters,2.5,316,Action,86.0
Air Force One Down,4.4,2800,Action,84.0
Mafia Wars,3.4,220,Action,94.0
Ultraman: Rising,6.9,6200,Action,117.0
The Prosecutor,6.8,1400,Action,117.0
Lights Out,4.9,1800,Action,90.0
Striking Rescue,5.6,362,Action,106.0
The Quiet Ones,6.5,565,Action,110.0
One Fast Move,5.0,2200,Action,108.0
Fighter,6.2,52000,Action,166.0
Justice League: Crisis on Infinite Earths - Part Two,5.5,5200,Action,94.0
Angels Fallen: Warriors of Peace,4.9,5800,Action,103.0
The Lost Tiger,7.8,41,Action,90.0
The Family Star,5.4,5400,Action,159.0
Pani,6.9,2800,Action,143.0
Yolo,6.9,3600,Action,129.0
Snow White and the Seven Samurai,3.2,276,Action,88.0
Agent Recon,2.4,664,Action,85.0
Panda Plan,5.1,1100,Action,99.0
Operation Blood Hunt,3.4,464,Action,93.0
Freedom,5.9,1300,Action,110.0
Life After Fighting,6.4,1900,Action,126.0
Jigra,6.0,23000,Action,153.0
Dan Da Dan: First Encounter,8.2,2600,Action,83.0
Saripodhaa Sanivaaram,7.0,8900,Action,166.0
Harbin,6.4,511,Action,108.0
Anaconda,4.9,605,Action,84.0
Golden Kamuy,6.3,2500,Action,127.0
Die Hart 2: Die Harter,4.3,5400,Action,92.0
Kahar: Kapla High Council,7.0,444,Action,102.0
Max,7.1,3200,Action,132.0
Latency,4.2,2000,Action,94.0
The Clean Up Crew,4.1,1100,Action,95.0
Murder Company,3.7,1500,Action,86.0
Cloud,6.3,914,Action,124.0
Utopia,3.6,347,Action,91.0
Rats!,7.9,85,Action,85.0
Sixty Minutes,5.7,5100,Action,88.0
Elyas,6.1,1300,Action,105.0
Echo 8,3.9,181,Action,96.0
The Last Kumite,4.6,2300,Action,105.0
Alienoid: The Return to the Future,6.5,2500,Action,122.0
Wanted Man,4.8,2500,Action,85.0
Agents,3.5,910,Action,82.0
Outlaw,5.2,906,Action,82.0
Terminator: Skynet Rising,6.9,260,Action,88.0
The Charisma Killers,6.2,650,Action,101.0
Hijack 1971,6.8,3200,Action,100.0
The Last Front,5.5,604,Action,98.0
Agni,7.3,15000,Action,122.0
WWII: Operation Phoenix,6.6,63,Action,106.0
Black Heat,8.6,75,Action,93.0
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1,8300,Action,104.0
Rajakili,7.6,560,Action,122.0
Wynonna Earp: Vengeance,5.6,1500,Action,96.0
Alien: Rubicon,2.4,331,Action,86.0
The Greatest of All Time,5.7,22000,Action,183.0
Paradox Effect,6.1,8500,Action,87.0
Razakar: The Silent Genocide of Hyderabad,7.4,5300,Action,166.0
Revolver,5.4,824,Action,114.0
Drive Back,4.7,291,Action,94.0
200% Wolf,6.0,1300,Action,98.0
Raayan,6.5,11000,Action,145.0
Eye for an Eye 2,6.5,488,Action,90.0
The Hangman,3.3,991,Action,92.0
72 Hours,4.1,282,Action,87.0
(Pri)sons,5.1,259,Action,100.0
Ferry 2,5.6,3700,Action,94.0
Heart of the Hunter,4.7,2100,Action,105.0
The Ballad of Davy Crockett,4.6,245,Action,96.0
Escape,6.4,1900,Action,94.0
Vettaiyan,7.0,39000,Action,163.0
Zero,6.1,38,Action,88.0
London Calling,7.5,18,Action,109.0
GTMax,5.0,1200,Action,100.0
Vedaa,6.0,4300,Action,145.0
Mura,7.3,6200,Action,129.0
Devil's Knight,5.4,781,Action,90.0
Cesium Fallout,6.7,410,Action,136.0
Kingdom 4: Return of the Great General,7.1,1200,Action,145.0
How to Rob a Bank,6.6,4100,Action,88.0
Fight Another Day,5.1,330,Action,97.0
Toofan,7.1,6100,Action,145.0
Bagheera,6.7,7300,Action,158.0
Thangalaan,6.6,6500,Action,156.0
A.R.M,7.1,8600,Action,150.0
The Lockdown,4.3,598,Action,117.0
Continental Split,3.5,536,Action,88.0
Don't Mess with Grandma,6.0,147,Action,81.0
Ryan's World the Movie: Titan Universe Adventure,1.8,659,Action,80.0
Get Fast,3.6,440,Action,88.0
Chandu Champion,7.8,34000,Action,142.0
Guntur Kaaram,5.4,25000,Action,159.0
A Legend,4.7,864,Action,129.0
Hellhound,4.3,494,Action,103.0
12 to Midnight,3.6,277,Action,96.0
Overlord: The Sacred Kingdom,7.0,707,Action,135.0
Kanguva,4.5,14000,Action,152.0
"Love, Courage and the Battle of Bushy Run",4.9,176,Action,113.0
Savi,6.2,35000,Action,126.0
Everybody Loves Jenifa,8.4,79,Action,135.0
Nice Girls,4.2,1200,Action,92.0
Sorgavaasal,6.6,1300,Action,138.0
Cells at Work!,6.8,173,Action,109.0
Baki Hanma VS Kengan Ashura,5.7,1900,Action,62.0
Spiders on a Plane,5.5,361,Action,78.0
Operation Undead,4.6,371,Action,110.0
40 Acres,6.5,104,Action,113.0
Young Lion of the West,8.1,106,Action,93.0
Escape from the 21st Century,6.6,827,Action,98.0
War of the Worlds: Extinction,3.0,182,Action,84.0
Barroz: Guardian of Treasures,3.5,960,Action,155.0
The Friendly,8.1,15,Action,101.0
Roadkill,3.6,674,Action,90.0
Je Jatt Vigarh Gya,5.7,819,Action,132.0
Bade Miyan Chote Miyan,3.8,39000,Action,163.0
Non Negotiable,5.4,1200,Action,87.0
Big Rage,3.6,160,Action,115.0
Sasan,8.5,64,Action,155.0
UI,6.9,5600,Action,135.0
Ayalaan,6.0,4000,Action,155.0
Mission: Cross,6.1,2500,Action,105.0
Tillu Square,6.6,3400,Action,137.0
The Last Ronin,4.9,232,Action,115.0
Pimpinero: Blood and Oil,5.6,541,Action,121.0
Alangu,8.2,1200,Action,131.0
The Actor,3.3,723,Action,128.0
Cassino in Ischia,4.4,232,Action,113.0
Bionic,4.3,1700,Action,110.0
School of Magical Animals 3,5.9,299,Action,105.0
Sucha Soorma,6.4,911,Action,136.0
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,8.2,652,Action,174.0
Memes & Nightmares,5.7,78,Action,81.0
Rob N Roll,6.1,1500,Action,98.0
The Last of Us: Immunity,6.3,13,Action,64.0
Deaner '89,5.9,415,Action,90.0
Ka Whawhai Tonu,7.4,170,Action,115.0
Hunting with Tigers,5.6,511,Action,109.0
Invasion,4.8,666,Action,91.0
Yodha,5.7,8800,Action,130.0
High Forces,5.8,511,Action,119.0
Nothing Even Matters,5.5,74,Action,90.0
Handsome Guys,6.5,769,Action,101.0
Onsen shâku,6.0,10,Action,70.0
Art of Eight Limbs,3.9,306,Action,101.0
Citizen of a Kind,6.7,778,Action,114.0
Mr. Bachchan,3.6,5300,Action,150.0
Sector 17,7.4,1300,Action,146.0
Bangkok Breaking: Heaven and Hell,5.8,658,Action,146.0
Auron Mein Kahan Dum Tha,6.6,41000,Action,150.0
My Fathers' Daughter,6.6,71,Action,78.0
No Time to Spy: A Loud House Movie,6.4,439,Action,81.0
Crakk: Jeetega... Toh Jiyegaa,4.7,6500,Action,154.0
The Kingdom,7.9,85,Action,133.0
Devaki Nandana Vasudeva,8.8,2700,Action,128.0
Bureau 749,4.1,504,Action,123.0
Sabari,8.4,5400,Action,129.0
The Slave and the Sorcerer,6.7,38,Action,86.0
Taken from Rio Bravo,3.0,308,Action,80.0
Garudan,7.1,3300,Action,133.0
Exorcism Chronicles: The Beginning,7.0,77,Action,85.0
GATAO: Like Father Like Son,6.8,65,Action,100.0
Shark Warning,3.4,249,Action,94.0
Paradise,6.9,77,Action,83.0
Dange,5.3,788,Action,154.0
Baby Assassins: Nice Days,7.3,274,Action,103.0
Diabel,5.1,216,Action,108.0
Martin,2.3,36000,Action,147.0
Bachhala Malli,8.3,3900,Action,140.0
Orang Ikan,6.5,32,Action,83.0
Yudhra,5.0,13000,Action,142.0
Siren,6.4,2900,Action,154.0
Alien Country,4.4,352,Action,96.0
Troubleshooters,6.7,402,Action,110.0
Sayen: The Huntress,4.4,253,Action,88.0
Crisis Negotiators,6.7,693,Action,120.0
Six jours,6.4,99,Action,95.0
American Underdog,8.8,23,Action,89.0
Mummy Shark,2.0,173,Action,66.0
The Grey Men,6.5,68,Action,97.0
Snatched,4.9,207,Action,101.0
Naam,6.4,274,Action,136.0
S.T.A.L.K.E.R.: Shadow of the Zone,5.2,450,Action,72.0
Mongol,8.6,90,Action,155.0
UmroAyyar - A New Beginning,6.9,670,Action,135.0
Rendel: Cycle of Revenge,3.6,243,Action,99.0
Ape X Mecha Ape: New World Order,2.8,131,Action,87.0
Fyre Rises,6.5,321,Action,110.0
Lady Scorpions,3.6,363,Action,101.0
Clone Cops,8.0,189,Action,96.0
Soodhu Kavvum 2: Naatum Naatu Makkalum,3.7,197,Action,129.0
Witch Hunter,5.2,23,Action,80.0
Camp Blood: Clown Shark,3.3,82,Action,70.0
Jithender Reddy,9.5,2400,Action,136.0
Lisabi: The Uprising,6.4,121,Action,107.0
The Desperate Chase,5.5,53,Action,110.0
Hunt the Wicked,5.3,107,Action,102.0
They Call Her Death,6.5,25,Action,92.0
Red vs. Blue: Restoration,5.6,135,Action,85.0
Ballistic,2.3,161,Action,95.0
Malayalee from India,5.6,5000,Action,160.0
Bidurbhai,9.2,376,Action,148.0
Zebra,8.0,3200,Action,164.0
Aserb: The Squadron,5.2,300,Action,120.0
Mobile Suit Gundam SEED Freedom,6.6,931,Action,124.0
Sikaar,8.3,676,Action,150.0
Eagle,5.9,4900,Action,159.0
Blade of Fury,6.1,115,Action,90.0
Sheriff,6.9,1100,Action,133.0
Samandar,7.6,136,Action,172.0
Rogue Elements: A Ryan Drake Story,4.9,916,Action,44.0
Shu Si Yi Bo,6.6,32,Action,91.0
Clownface 3,9.5,35,Action,104.0
Anthima Theerpu,8.1,1500,Action,133.0
The Experts,6.2,259,Action,121.0
Sunfall,2.4,31,Action,74.0
Lal Salaam,4.5,1300,Action,150.0
Love You to Debt,6.2,750,Action,135.0
Fuuto PI: Portrait of Kamen Rider Skull,7.6,31,Action,82.0
Panjab Files,7.9,17,Action,117.0
Matka,4.7,578,Action,156.0
Turbo,5.9,3600,Action,155.0
The Miranda Brothers,4.4,188,Action,99.0
Mirza: Part 1 - Joker,6.8,236,Action,165.0
Mercy Killing,8.7,2700,Action,131.0
Desperado,5.9,140,Action,100.0
Captain Miller,6.5,8600,Action,157.0
Yuva,5.8,834,Action,153.0
What Happens in Miami,4.3,218,Action,90.0
Shark Island,4.0,114,Action,81.0
Sarangadhariya,8.6,3100,Action,150.0
Customs Frontline,5.4,467,Action,115.0
Rang De Basanti,8.8,144,Action,174.0
Hitler,5.2,302,Action,128.0
Xiong Shi Shao Nian 2,7.5,192,Action,134.0
Anchakkallakokkan,6.6,1000,Action,126.0
Mission: Chapter 1,5.9,1700,Action,144.0
Hain,2.9,45,Action,95.0
Major Grom: The Game,6.1,1800,Action,168.0
Pottel,8.2,2700,Action,148.0
Bhaje Vaayu Vegam,6.1,546,Action,136.0
Buddy,3.8,340,Action,137.0
Ghost Killer,7.2,60,Action,105.0
Indrani: Epic-1 Dharam vs Karam,7.6,1100,Action,157.0
Fighting the Fire,8.6,1700,Action,115.0
