Title,Rating,Votes,Duration,Genre
1. Moana 2,6.7, (91K),1h 40m,Animation
2. Flow,7.9, (63K),1h 25m,Animation
3. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (2.8K),1h 31m,Animation
4. Mufasa: The Lion King,6.6, (49K),1h 58m,Animation
5. The Wild Robot,8.2, (154K),1h 42m,Animation
6. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m,Animation
7. Despicable Me 4,6.2, (63K),1h 34m,Animation
8. Solo Leveling: ReAwakening,8.8, (8.8K),2h 1m,Animation
9. Inside Out 2,7.5, (212K),1h 36m,Animation
10. IF,6.4, (57K),1h 44m,Animation
11. Memoir of a Snail,7.8, (16K),1h 35m,Animation
12. Transformers One,7.6, (48K),1h 44m,Animation
13. Night of the Zoopocalypse,6.3, (357),1h 31m,Animation
14. Wallace & Gromit: Vengeance Most Fowl,7.5, (33K),1h 22m,Animation
15. Spermageddon,5.8, (637),1h 20m,Animation
16. Harold and the Purple Crayon,5.7, (8K),1h 30m,Animation
17. Kung Fu Panda 4,6.3, (67K),1h 34m,Animation
18. Attack on Titan the Movie: The Last Attack,9.2, (14K),2h 25m,Animation
19. The Garfield Movie,5.7, (24K),1h 41m,Animation
20. Spellbound,5.6, (6.6K),1h 49m,Animation
21. Watchmen: Chapter I,7.0, (6.3K),1h 23m,Animation
22. Look Back,7.8, (14K),58m,Animation
23. Hitpig,5.1, (856),1h 26m,Animation
24. Piece by Piece,6.9, (5.2K),1h 33m,Animation
25. The Most Precious of Cargoes,7.2, (769),1h 21m,Animation
26. Orion and the Dark,6.3, (17K),1h 33m,Animation
27. Grand Theft Hamlet,6.9, (1.6K),1h 29m,Animation
28. A Sloth Story,5.6, (188),1h 30m,Animation
29. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,Animation
30. Watchmen: Chapter II,7.0, (2.8K),1h 30m,Animation
31. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.4K),1h 33m,Animation
32. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.4K),1h 34m,Animation
33. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.8K),1h 22m,Animation
34. The Remarkable Life of Ibelin,8.2, (12K),1h 43m,Animation
35. Thelma the Unicorn,5.7, (2.9K),1h 33m,Animation
36. Buffalo Kids,6.6, (647),1h 33m,Animation
37. That Christmas,6.8, (17K),1h 31m,Animation
38. My Hero Academia: You're Next,7.0, (1.9K),1h 50m,Animation
39. Noah's Ark,4.3, (629),1h 36m,Animation
40. The Tiger's Apprentice,5.7, (2.1K),1h 24m,Animation
41. Ultraman: Rising,6.9, (6.2K),1h 57m,Animation
42. The Colors Within,7.1, (841),1h 41m,Animation
43. The Glassworker,7.5, (1.6K),1h 38m,Animation
44. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.2K),1h 34m,Animation
45. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,Animation
46. The Lost Tiger,7.8, (41),1h 30m,Animation
47. 10 Lives,5.9, (1.9K),1h 28m,Animation
48. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,Animation
49. Dan Da Dan: First Encounter,8.2, (2.6K),1h 23m,Animation
50. Storm Crashers,6.3, (551),1h 28m,Animation
51. Mononoke the Movie: The Phantom in the Rain,6.8, (1.2K),1h 29m,Animation
52. My Freaky Family,6.4, (390),1h 26m,Animation
53. Dragonkeeper,5.7, (1.6K),1h 38m,Animation
54. Dalia y el Libro Rojo,6.5, (61),1h 47m,Animation
55. Limonov: The Ballad of Eddie,6.0, (746),2h 18m,Animation
56. Frida,7.5, (1.5K),1h 27m,Animation
57. Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.8, (1K),1h 30m,Animation
58. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.3K),1h 44m,Animation
59. Mars,8.9, (19),1h 24m,Animation
60. Savages,7.0, (275),1h 27m,Animation
61. Crayon Shin-chan: Ora's Dinosaur Diary,6.5, (318),1h 46m,Animation
62. 200% Wolf,6.0, (1.3K),1h 38m,Animation
63. Rebellious,6.0, (169),1h 34m,Animation
64. Johnny Puff: Secret Mission,4.8, (438),1h 27m,Animation
65. The Night Before Christmas in Wonderland,6.3, (509),1h 20m,Animation
66. Haikyu!! The Dumpster Battle,7.7, (6K),1h 25m,Animation
67. Panda Bear in Africa,5.5, (310),1h 24m,Animation
68. Blue Lock: Episode Nagi,6.6, (2.4K),1h 31m,Animation
69. Ryan's World the Movie: Titan Universe Adventure,1.8, (659),1h 20m,Animation
70. From Ground Zero,7.9, (505),1h 52m,Animation
71. Overlord: The Sacred Kingdom,7.0, (705),2h 15m,Animation
72. Niko: Beyond the Northern Lights,6.2, (310),1h 26m,Animation
73. Baki Hanma VS Kengan Ashura,5.7, (1.9K),1h 2m,Animation
74. Ghost Cat Anzu,6.5, (724),1h 37m,Animation
75. Movie Given Hiiragi Mix.,7.4, (139),1h 10m,Animation
76. White Snake: Afloat,6.9, (436),2h 13m,Animation
77. Super-Charlie,5.8, (109),1h 20m,Animation
78. Out of the Nest,7.4, (104),1h 24m,Animation
80. Shrek 5: The Contract - A Fan Made Film,7.0, (18),1h 24m,Animation
81. No Time to Spy: A Loud House Movie,6.4, (438),1h 21m,Animation
82. The Quintessential Quintuplets Specials 2,7.1, (114),46m,Animation
83. Exorcism Chronicles: The Beginning,7.0, (73),1h 25m,Animation
84. Dongeng Sang Kancil,8.3, (80),1h 39m,Animation
85. Lesbian Space Princess,8.0, (99),1h 27m,Animation
86. The Casagrandes Movie,5.6, (657),1h 29m,Animation
"87. Maya, donne-moi un titre",6.4, (48),1h 1m,Animation
88. Given 3: To the Sea,8.4, (11),1h 20m,Animation
89. Big City Greens the Movie: Spacecation,6.2, (536),TV-Y7,Animation
90. Sabbath Queen,8.0, (59),1h 45m,Animation
91. Fox & Hare Save the Forest,5.9, (193),1h 11m,Animation
92. Boys Go to Jupiter,6.9, (92),1h 30m,Animation
93. Detective Conan: The Million-Dollar Pentagram,6.7, (1.4K),1h 51m,Animation
95. Mobile Suit Gundam SEED Freedom,6.6, (930),2h 4m,Animation
96. Diplodocus,6.4, (159),1h 30m,Animation
97. My Oni Girl,6.0, (1.7K),1h 52m,Animation
98. The Big Trip 3: Race Around the World,5.7, (51),1h 25m,Animation
99. Elli and the Ghostly Ghost Train,5.0, (89),1h 26m,Animation
100. Rock Bottom,7.0, (39),1h 26m,Animation
"101. Die Heinzels: Neue Mützen, Neue Mission",6.4, (74),1h 16m,Animation
102. Sanatorium Under the Sign of the Hourglass,5.3, (90),1h 15m,Animation
103. Gracie and Pedro: Pets to the Rescue,5.1, (261),1h 27m,Animation
104. Fuuto PI: Portrait of Kamen Rider Skull,7.6, (31),1h 22m,Animation
106. Bocchi the Rock! Re:,7.5, (143),1h 30m,Animation
107. Jon Vardar protiv Galaksijata,8.7, (62),1h 26m,Animation
108. Heartsping : Teenieping of Love,7.0, (22),TV-Y,Animation
"109. Robotia, the Movie",8.2, (22),1h 26m,Animation
110. Xiong Shi Shao Nian 2,7.5, (191),2h 14m,Animation
111. Little Emma,5.7, (103),1h 46m,Animation
112. Zak & Wowo: The Legend of Lendarys,5.7, (87),1h 25m,Animation
113. Uma Musume: Pretty Derby - Beginning of a New Era,7.4, (110),1h 48m,Animation
115. Kvitebjørn,5.9, (53),1h 25m,Animation
116. Tay 2: Ebabil Takimi,5.5, (36),1h 18m,Animation
117. Mariposas Negras,7.0, (47),1h 23m,Animation
118. Kizumonogatari: Koyomi Vamp,7.0, (82),2h 24m,Animation
119. Living Large,7.7, (101),1h 20m,Animation
120. Goldbeak,4.9, (127),1h 34m,Animation
121. Dead Dead Demon's Dededede Destruction,7.0, (139),2h,Animation
122. Le parfum d'Irak,8.1, (38),1h 35m,Animation
123. Tri kota. Zimnie kanikuly,6.1, (27),1h 5m,Animation
127. Schirkoa: In Lies We Trust,5.6, (154),1h 43m,Animation
128. Luntik. Vozvrashchenie domoy,6.4, (74),TV-Y,Animation
129. Olivia & the Clouds,7.2, (44),1h 21m,Animation
130. The Storm,6.1, (137),1h 42m,Animation
131. Hola Frida,7.4, (22),1h 22m,Animation
132. Captain Avispa,5.8, (172),1h 36m,Animation
133. The Worlds Divide,8.0, (36),2h,Animation
134. Bocchi the Rock! Re: Re:,7.9, (87),1h 17m,Animation
135. Slocum et moi,7.4, (66),1h 15m,Animation
136. Peppa's Cinema Party,5.0, (153),1h 5m,Animation
137. Angelo dans la forêt mystérieuse,6.0, (109),1h 21m,Animation
138. Fureru,6.4, (23),1h 47m,Animation
140. Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,6.8, (14),1h 30m,Animation
141. The Proud Princess,7.2, (101),1h 24m,Animation
142. Boonie Bears: Time Twist,6.0, (162),1h 45m,Animation
143. SuperKlaus,4.3, (196),1h 28m,Animation
144. Yumi's Cells: The Movie,6.2, (48),1h 33m,Animation
146. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8, (28),1h 11m,Animation
147. Dragon Ball Z Kai,8.4, (66),1h 22m,Animation
148. Si Juki the Movie: Harta Pulau Monyet,6.0, (115),1h 47m,Animation
149. Trapezium,6.4, (139),1h 42m,Animation
150. Nie Xiaoqian,6.4, (16),1h 52m,Animation
151. Appu,8.6, (181),1h 32m,Animation
152. Masha i Medved v kino: Park chudes,7.0, (16),58m,Animation
153. Askepote,3.5, (80),1h 12m,Animation
154. Rocky and Bullwinkle,9.2, (12),1h 40m,Animation
156. Il segreto di Liberato,7.3, (212),1h 30m,Animation
158. Transformers: 40th Anniversary Event,7.2, (28),1h 36m,Animation
160. Quo Vadis,6.6, (331),1h 30m,Animation
161. PAPmusic - Animation for Fashion,1.0, (128),1h 25m,Animation
163. Norbert,6.6, (11),1h 15m,Animation
164. A Few Moments of Cheers,7.5, (23),1h 8m,Animation
165. Into the Mortal World,6.8, (143),1h 58m,Animation
168. Mustafa,6.9, (72),1h 15m,Animation
170. Double Tuckerr,5.0, (1.2K),2h,Animation
171. Kuramerukagari,5.8, (79),1h 1m,Animation
172. Transformers Prime: Galavatron's Revenge,3.0, (5),1h 44m,Animation
173. Steal the Naughty List,6.6, (114),1h 30m,Animation
175. Maxxie LaWow: Drag Super-shero,8.9, (55),1h 54m,Animation
176. Dikkie Dik 2: Een Nieuwe Vriend voor Dikkie Dik,7.4, (71),1h 10m,Animation
177. Lilla spöket Laban spökar igen,6.1, (24),44m,Animation
178. The Umbrella Fairy,5.5, (48),1h 35m,Animation
"180. Silex and the City, le film",4.9, (47),1h 17m,Animation
181. Rocket Club: Across the Cosmos,8.2, (18),1h 8m,Animation
182. Dead Dead Demon's Dededede Destruction Zenpen,7.0, (136),2h,Animation
183. Day of the Diesels,7.2, (9),1h 40m,Animation
184. Code Geass: Rozé of the Recapture - Part 1,7.9, (40),1h 14m,Animation
185. Inanimate Insanity II: The Movie,8.3, (226),1h 46m,Animation
186. Benjamin Bat,8.1, (28),1h 15m,Animation
188. Tobias and the Arcane Merchant,9.0, (42),2h 47m,Animation
189. Abá e Sua Banda,7.9, (7),1h 24m,Animation
190. Motu Patlu & The Rise of Zombies,6.6, (15),1h 14m,Animation
191. Dikkie Dik en de Verdwenen Knuffel,7.2, (127),1h 2m,Animation
193. Riki Rhino: The Bird Kingdom,4.8, (23),1h 49m,Animation
194. Animal Tales of Christmas Magic,6.8, (50),1h 12m,Animation
"195. Hey, Tete",6.4, (9),2h 31m,Animation
196. Nothing Unusual,9.7, (12),1h 32m,Animation
197. Formula vody,4.3, (27),1h 26m,Animation
198. Bob a Bobek ve filmu: Na stope Mrkvojeda,8.7, (18),1h 20m,Animation
200. Hello My Beautiful Creatures,6.8, (169),2h 22m,Animation
201. Motu Patlu & The Race to the Diamond Valley,7.8, (27),1h 12m,Animation
202. Uma & Haggen: Mitos,7.5, (45),1h 34m,Animation
203. Tri bogatyrya. Ni dnya bez podviga,5.7, (62),1h 1m,Animation
204. The Greatest Surf Movie in the Universe,5.4, (8),1h 21m,Animation
205. Rafadan Tayfa: Kapadokya,6.8, (113),1h 24m,Animation
206. Mobile Suit Gundam: Silver Phantom,6.1, (13),1h 30m,Animation
208. Pui Pui Molcar the Movie: Molmax,7.0, (7),1h 9m,Animation
211. TWST: Things We Said Today,6.9, (43),1h 26m,Animation
212. The Ballad of Straw Hat Sam,9.2, (10),45m,Animation
213. Meitantei Conan Bâsasu Kaitô Kiddo,6.2, (152),1h 21m,Animation
214. The Delegator,4.2, (17),1h 36m,Animation
217. Max Beyond,6.6, (17),1h 33m,Animation
221. Astra,6.8, (8),1h 20m,Animation
222. Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,6.6, (8),59m,Animation
226. Sunburnt Unicorn,7.4, (9),1h 21m,Animation
228. Luv You Shankar,5.8, (43),2h,Animation
229. Code Geass: Rozé of the Recapture: Part 2,8.0, (26),1h 16m,Animation
235. The Car Acrobatic Team Saga,8.0, (9),1h 52m,Animation
236. Ugly Sweater,7.1, (13),1h 20m,Animation
247. Sirds likums,6.8, (17),1h 5m,Animation
251. Bloody Escape,6.1, (25),1h 40m,Animation
252. Pleasant Goat and Big Big Wolf: The World Guardians,7.0, (11),1h 36m,Animation
254. Bizarros Peixes das Fossas Abissais,8.4, (8),1h 15m,Animation
259. Terra Incognita 1901,9.2, (13),1h 18m,Animation
262. Code Geass: Rozé of the Recapture: Part 3,7.6, (23),1h 16m,Animation
263. Let's Go! Anpanman: Baikinman and Lulun,6.5, (7),1h 4m,Animation
264. Be Forever Yamato: Rebel 3199: Part 1: Dark Invasion,7.0, (9),50m,Animation
266. Arne Alligator och djungelkompisarna,4.6, (48),1h 1m,Animation
268. Ya Boy Kongming! Road to Summer Sonia,7.5, (38),1h 59m,Animation
269. Uma Musume: Pretty Derby - Road to the Top,6.0, (6),1h 38m,Animation
270. Turbozavry. God drakona,9.2, (42),48m,Animation
