Title,Rating,Votes,Duration,Genre
1. Moana 2,6.7, (91K),1h 40m,Adventure
2. Flow,7.9, (63K),1h 25m,Adventure
3. Twisters,6.5, (162K),2h 2m,Adventure
4. Gladiator II,6.5, (219K),2h 28m,Adventure
5. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (2.8K),1h 31m,Adventure
6. Sonic the Hedgehog 3,6.9, (54K),1h 50m,Adventure
7. Mufasa: The Lion King,6.6, (49K),1h 58m,Adventure
8. Venom: The Last Dance,6.0, (109K),1h 50m,Adventure
9. Dune: Part Two,8.5, (615K),2h 46m,Adventure
10. Deadpool & Wolverine,7.6, (482K),2h 8m,Adventure
11. Paddington in Peru,6.7, (18K),1h 46m,Adventure
12. Furiosa: A Mad Max Saga,7.5, (281K),2h 28m,Adventure
13. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m,Adventure
14. Borderlands,4.7, (46K),1h 41m,Adventure
15. Civil War,7.0, (233K),1h 49m,Adventure
16. Despicable Me 4,6.2, (63K),1h 34m,Adventure
17. Solo Leveling: ReAwakening,8.8, (8.8K),2h 1m,Adventure
18. The Count of Monte-Cristo,7.6, (33K),2h 58m,Adventure
19. Inside Out 2,7.5, (212K),1h 36m,Adventure
20. Damsel,6.1, (108K),1h 50m,Adventure
21. Transformers One,7.6, (48K),1h 44m,Adventure
22. Red One,6.3, (138K),2h 3m,Adventure
23. Kingdom of the Planet of the Apes,6.9, (150K),2h 25m,Adventure
24. The Return,6.2, (7.6K),1h 56m,Adventure
25. Freaky Tales,6.5, (377),1h 46m,Adventure
26. Madame Web,4.0, (99K),1h 56m,Adventure
27. Bad Boys: Ride or Die,6.5, (98K),1h 55m,Adventure
28. Godzilla x Kong: The New Empire,6.1, (120K),1h 55m,Adventure
29. Love Lies Bleeding,6.6, (56K),1h 44m,Adventure
30. Ghostbusters: Frozen Empire,6.1, (92K),1h 55m,Adventure
31. Night of the Zoopocalypse,6.3, (357),1h 31m,Adventure
32. Wallace & Gromit: Vengeance Most Fowl,7.5, (33K),1h 22m,Adventure
33. Uglies,4.7, (32K),1h 40m,Adventure
34. Spaceman,5.7, (42K),1h 47m,Adventure
35. Survive,4.6, (2.1K),1h 30m,Adventure
36. Harold and the Purple Crayon,5.7, (8K),1h 30m,Adventure
37. Kung Fu Panda 4,6.3, (67K),1h 34m,Adventure
38. Attack on Titan the Movie: The Last Attack,9.2, (14K),2h 25m,Adventure
39. The Garfield Movie,5.7, (24K),1h 41m,Adventure
40. Kalki 2898 AD,7.0, (66K),3h,Adventure
41. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,Adventure
42. Atlas,5.6, (55K),1h 58m,Adventure
43. Arthur the King,7.0, (34K),1h 47m,Adventure
44. Spellbound,5.6, (6.6K),1h 49m,Adventure
45. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,Adventure
46. My Penguin Friend,6.7, (4.8K),1h 37m,Adventure
47. Hitpig,5.1, (856),1h 26m,Adventure
48. Winner,6.5, (2.3K),1h 43m,Adventure
49. Monster Summer,5.7, (3.5K),1h 37m,Adventure
50. No Way Up,4.6, (10K),1h 30m,Adventure
51. Orion and the Dark,6.3, (17K),1h 33m,Adventure
52. The Unholy Trinity,7.9, (49),1h 33m,Adventure
53. A Sloth Story,5.6, (188),1h 30m,Adventure
54. Family Pack,5.5, (8.8K),1h 34m,Adventure
55. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,Adventure
56. The Best Christmas Pageant Ever,6.8, (6K),1h 39m,Adventure
57. Lost on a Mountain in Maine,6.1, (1.1K),1h 38m,Adventure
58. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.4K),1h 33m,Adventure
59. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.4K),1h 34m,Adventure
60. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.8K),1h 22m,Adventure
61. River of Blood,5.4, (1.7K),1h 26m,Adventure
63. The Empire,5.2, (1.2K),1h 50m,Adventure
64. Bookworm,6.0, (1.8K),1h 43m,Adventure
65. Sasquatch Sunset,5.4, (5.3K),1h 28m,Adventure
66. Thelma the Unicorn,5.7, (2.9K),1h 33m,Adventure
67. Hanu Man,7.7, (29K),2h 38m,Adventure
68. Buffalo Kids,6.6, (647),1h 33m,Adventure
69. Something in the Water,4.1, (4.5K),1h 26m,Adventure
