Title,Rating,Votes,Duration,Genre
1. Moana 2,6.7, (91K),1h 40m,family
2. Flow,7.9, (63K),1h 25m,family
3. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (2.8K),1h 31m,family
4. Sonic the Hedgehog 3,6.9, (54K),1h 50m,family
5. Mufasa: The Lion King,6.6, (49K),1h 58m,family
6. Paddington in Peru,6.7, (18K),1h 46m,family
7. Despicable Me 4,6.2, (63K),1h 34m,family
8. Inside Out 2,7.5, (212K),1h 36m,family
9. IF,6.4, (57K),1h 44m,family
10. Transformers One,7.6, (48K),1h 44m,family
11. Wallace & Gromit: Vengeance Most Fowl,7.5, (33K),1h 22m,family
12. Harold and the Purple Crayon,5.7, (8K),1h 30m,family
13. Kung Fu Panda 4,6.3, (67K),1h 34m,family
14. Young Hearts,8.1, (4.5K),1h 39m,family
15. The Garfield Movie,5.7, (24K),1h 41m,family
16. The Forge,6.7, (4.6K),2h 4m,family
17. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,family
18. Spellbound,5.6, (6.6K),1h 49m,family
19. How to Make Millions Before Grandma Dies,8.0, (13K),2h 5m,family
20. My Penguin Friend,6.7, (4.8K),1h 37m,family
21. Hitpig,5.1, (856),1h 26m,family
22. Faith of Angels,5.9, (176),1h 38m,family
23. Piece by Piece,6.9, (5.2K),1h 33m,family
24. You Gotta Believe,5.8, (1.3K),1h 44m,family
25. Unsung Hero,7.0, (4.9K),1h 53m,family
26. Orion and the Dark,6.3, (17K),1h 33m,family
27. A Sloth Story,5.6, (188),1h 30m,family
28. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,family
29. Lost on a Mountain in Maine,6.1, (1.1K),1h 38m,family
30. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.8K),1h 22m,family
31. Big World,7.4, (1.1K),2h 11m,family
32. Thelma the Unicorn,5.7, (2.9K),1h 33m,family
33. Buffalo Kids,6.6, (647),1h 33m,family
34. The Thundermans Return,5.0, (1.8K),1h 10m,family
35. Fear,8.5, (2.8K),1h 55m,family
36. That Christmas,6.8, (17K),1h 31m,family
37. Noah's Ark,4.3, (629),1h 36m,family
38. Woodwalkers,5.3, (365),1h 43m,family
39. Guest from the Future,6.0, (1.2K),2h 21m,family
40. The Tiger's Apprentice,5.7, (2.1K),1h 24m,family
41. Ultraman: Rising,6.9, (6.2K),1h 57m,family
42. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,family
43. The Lost Tiger,7.8, (41),1h 30m,family
44. 10 Lives,5.9, (1.9K),1h 28m,family
45. Runt,6.4, (506),1h 31m,family
46. Panda Plan,5.1, (1.1K),1h 39m,family
47. Autumn and the Black Jaguar,5.6, (973),1h 40m,family
48. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,family
49. Storm Crashers,6.3, (551),1h 28m,family
50. My Freaky Family,6.4, (390),1h 26m,family
52. Dalia y el Libro Rojo,6.5, (61),1h 47m,family
53. Bibi Rajni,8.6, (709),2h 23m,family
54. Meiyazhagan,8.4, (13K),2h 57m,family
55. Rajakili,7.6, (560),2h 2m,family
56. Savages,7.0, (275),1h 27m,family
57. Crayon Shin-chan: Ora's Dinosaur Diary,6.5, (318),1h 46m,family
58. 200% Wolf,6.0, (1.3K),1h 38m,family
59. Rebellious,6.0, (169),1h 34m,family
60. Bila Esok Ibu Tiada,6.5, (258),1h 44m,family
61. Bambi: A Tale of Life in the Woods,5.7, (154),1h 25m,family
62. The Night Before Christmas in Wonderland,6.3, (509),1h 20m,family
63. Average Joe,4.2, (560),1h 40m,family
64. Man and Witch: The Dance of a Thousand Steps,5.5, (327),1h 34m,family
65. The Groomsmen: First Look,6.1, (379),1h 22m,family
66. Panda Bear in Africa,5.5, (310),1h 24m,family
67. Ryan's World the Movie: Titan Universe Adventure,1.8, (659),1h 20m,family
68. A Sudden Case of Christmas,5.1, (1.1K),1h 31m,family
69. Niko: Beyond the Northern Lights,6.2, (310),1h 26m,family
70. And the Breadwinner Is...,6.8, (241),2h 3m,family
71. Ghost Cat Anzu,6.5, (724),1h 37m,family
72. Believe in Christmas,6.1, (820),1h 30m,family
73. Robin and the Hoods,4.3, (504),1h 40m,family
74. A Nashville Wish,5.6, (89),1h 42m,family
75. A Carpenter's Prayer,8.6, (33),1h 31m,family
76. Super-Charlie,5.8, (109),1h 20m,family
77. The Neon Highway,6.0, (485),1h 53m,family
78. Rally Caps,5.5, (136),1h 40m,family
79. School of Magical Animals 3,5.9, (299),1h 45m,family
80. Der Buchspazierer,7.3, (363),1h 38m,family
81. The Primrose Railway Children,4.9, (142),1h 21m,family
82. Marry Christmas,6.9, (58),1h 25m,family
83. A Brother and 7 Siblings,8.6, (1.1K),2h 9m,family
85. Véletlenül írtam egy könyvet,7.7, (290),1h 38m,family
"86. Love, Sitara",5.3, (295),1h 45m,family
87. No Time to Spy: A Loud House Movie,6.4, (438),1h 21m,family
88. Skelly,5.6, (90),1h 25m,family
89. Sabari,8.4, (5.4K),2h 9m,family
90. Brewster's Millions: Christmas,5.7, (186),1h 40m,family
91. Home Sweet Loan,8.1, (830),1h 52m,family
92. Treasure Trackers,5.8, (158),1h 32m,family
93. The Snow Sister,7.0, (2.1K),1h 36m,family
94. Going Viral,6.8, (50),1h 30m,family
95. Dongeng Sang Kancil,8.3, (80),1h 39m,family
96. Cup,8.5, (66),2h 26m,family
97. Return to Wickensburg,4.7, (25),1h 28m,family
98. Chico Bento e a Goiabeira Maraviosa,7.6, (680),1h 30m,family
99. Disaster Holiday,4.8, (678),1h 33m,family
100. Juliette au printemps,6.4, (219),1h 35m,family
101. Juf Braaksel en de Geniale Ontsnapping,4.0, (43),1h 23m,family
102. Babah,7.0, (105),2h 9m,family
103. Ole Aale,8.7, (408),2h 22m,family
104. The Casagrandes Movie,5.6, (657),1h 29m,family
105. Like a Rolling Stone,7.8, (415),1h 46m,family
"106. Maya, donne-moi un titre",6.4, (48),1h 1m,family
107. 2nd Miracle in Cell No. 7,7.8, (199),2h 27m,family
108. Big City Greens the Movie: Spacecation,6.2, (536),TV-Y7,family
109. Dance Rivals,5.9, (64),1h 33m,family
110. Father There is Only One 4,5.2, (603),1h 30m,family
111. Dear Family,6.9, (52),1h 56m,family
112. Victoria må dø,5.9, (349),1h 25m,family
113. Børnene fra Sølvgade,7.6, (92),1h 42m,family
115. Grrr...,4.0, (807),2h 1m,family
116. My Oni Girl,6.0, (1.7K),1h 52m,family
117. The Big Trip 3: Race Around the World,5.7, (51),1h 25m,family
118. Elli and the Ghostly Ghost Train,5.0, (89),1h 26m,family
"119. Die Heinzels: Neue Mützen, Neue Mission",6.4, (74),1h 16m,family
120. Krispy Rishtey,6.6, (69),2h 13m,family
121. Gracie and Pedro: Pets to the Rescue,5.1, (261),1h 27m,family
122. Letuchiy korabl,3.8, (291),1h 40m,family
123. The Adventures of Jurassic Pet: Return to the Wild,5.5, (54),1h 30m,family
124. Bremenskie muzykanty,4.6, (662),1h 55m,family
125. Dog Days,6.7, (303),2h,family
126. Paper Flowers,8.8, (30),1h 40m,family
127. Aanandhapuram Diaries,7.1, (2.5K),1h 55m,family
128. Heartsping : Teenieping of Love,7.0, (22),TV-Y,family
"129. Robotia, the Movie",8.2, (22),1h 26m,family
130. Little Emma,5.7, (103),1h 46m,family
131. Zak & Wowo: The Legend of Lendarys,5.7, (87),1h 25m,family
132. Il migliore dei mali,7.8, (6),1h 30m,family
133. Windcatcher,5.3, (406),1h 20m,family
134. Kvitebjørn,5.9, (53),1h 25m,family
135. Luv Ki Arrange Marriage,3.9, (4.5K),2h 15m,family
136. G for Gap,7.2, (537),1h 43m,family
137. Powder Pup,6.2, (73),1h 29m,family
138. Living Large,7.7, (101),1h 20m,family
139. Stinky Summer,5.9, (45),1h 30m,family
140. Goldbeak,4.9, (127),1h 34m,family
141. Tri kota. Zimnie kanikuly,6.1, (27),1h 5m,family
143. Saint Nick of Bethlehem,9.3, (96),1h 33m,family
145. Chicken Coop,5.8, (88),1h 38m,family
146. Eine zweite Chance,8.6, (39),1h 31m,family
147. Yaren Leylek,5.9, (26),1h 35m,family
150. Daaru Na Peenda Hove,7.7, (2.3K),1h 51m,family
151. Singapore Saloon,6.0, (1.2K),2h 17m,family
152. Superkrachten voor je hoofd,7.3, (194),1h 32m,family
154. Magic Beach,5.5, (58),1h 20m,family
155. Sunny,7.6, (21),2h 2m,family
156. Sieger Sein,6.6, (172),1h 59m,family
157. Captain Avispa,5.8, (172),1h 36m,family
158. Baba Yaga spasaet Novyy god,4.4, (113),1h 39m,family
